series,"01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022"
Washington,234,188,236,214,254,230,236,255,255,185,181,180,211,196,202,196,258,205,226,249,188,211,212,185,192,199,201,226,235,221,255,260,225,230,209,202,210,198,218,214,268,240,287,264,237,267,202,223,243,204,262,228,263,196,267,291,242,241,197,190,208,220,228,253,279,214,250,221,257,229,236,176,259,201,219,215,276,220,249,257,212,227,203,199,212,189,263,216,242,239,244,215,197,235,194,201,205,202,179,209,232,230,246,278,241,232,219,174,257,208,202,203,202,206,242,236,221,196,154,182,231,180,274,209,200,202,239,227,198,250,167,192,197,197,196,154,209,187,208,213,188,185,188,173,175,133,190,173,210,188,224,206,199,177,183,154,228,173,200,191,213,210,216,232,160,189,176,165,225,207,221,215,200,215,211,242,204,210,203,176,209,203,220,202,238,250,239,246,195,211,210,203,261,238,247,258,256,290,264,247,251,258,234,243,491,428,471,457,590,567,562,472,504,544,488,419,595,528,511,554,617,607,546,561,551,565,503,475,636,463,513,513,566,626,581,656,479,615,443,479,630,475,439,384,435,481,424,493,456,483,337,362,470,399,531,475,482,460,522,499,419,542,532,460,508,478,539,510,472,493,518,505,514,515,356,407
Washington Clearances,101,72,97,95,106,80,104,114,101,76,62,66,91,72,70,77,105,77,79,96,73,73,68,93,74,93,87,93,87,91,110,101,76,84,74,97,101,80,80,74,95,91,129,115,115,101,79,86,103,71,94,101,80,83,92,98,86,105,83,87,91,109,120,94,138,99,93,103,94,109,101,66,114,75,95,71,96,100,134,90,90,101,88,100,90,76,91,74,81,98,98,103,82,73,67,72,75,74,74,68,87,83,66,103,98,92,77,82,102,101,93,104,85,88,102,81,84,73,56,67,73,94,87,52,60,60,85,73,66,69,50,67,68,76,91,66,84,79,73,78,68,66,71,60,54,43,68,60,57,62,59,49,68,47,58,41,66,66,80,74,63,66,69,64,51,53,53,61,72,68,73,61,49,56,80,68,69,79,61,61,69,47,70,69,84,84,85,91,62,76,74,55,66,62,78,76,65,80,86,85,61,65,56,82,129,142,143,127,163,124,143,141,148,115,139,116,162,123,143,161,134,154,126,107,170,178,143,136,155,112,136,138,150,144,174,147,130,178,117,108,115,169,143,111,131,116,162,121,119,144,92,103,114,104,121,117,115,138,122,101,133,128,121,156,144,144,191,124,148,135,154,106,134,121,106,99
