series,"01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022"
Texas,643,587,659,595,729,699,746,715,703,666,580,548,600,642,701,687,730,684,744,735,704,710,599,606,650,601,651,757,800,777,804,816,731,692,655,563,628,582,615,712,681,700,705,759,731,682,600,622,706,620,791,656,737,696,753,755,696,696,629,612,679,609,676,738,738,684,820,781,759,761,645,634,645,550,784,737,820,746,794,777,703,695,592,577,658,645,722,719,786,720,760,681,691,708,655,701,616,568,672,738,735,714,709,724,696,717,596,563,626,630,691,759,753,682,812,713,701,705,609,620,599,561,668,613,727,674,683,700,690,666,556,492,642,479,680,664,692,653,703,677,599,622,557,510,628,571,687,629,675,694,741,706,620,659,590,480,652,541,647,703,742,667,718,725,679,718,621,565,957,841,911,975,1037,1023,1067,1049,1045,979,857,827,916,823,961,1060,1096,1091,1187,1115,1029,1070,974,958,1068,980,1053,1134,1166,1116,1216,1262,1188,1183,975,1030,1383,1197,1497,1436,1623,1463,1471,1408,1358,1431,1364,1247,1535,1418,1516,1538,1622,1740,1713,1735,1731,1619,1545,1443,1777,1597,1692,1861,1921,1852,1841,2013,2030,1883,1865,1684,2054,1921,1853,1486,1964,1949,1908,2038,2070,2022,2022,1873,2429,1947,2541,2356,2440,2402,2324,2344,2363,2591,2211,2171,2378,2041,2340,2276,2497,2360,2344,2287,2294,2271,1902,2056
Texas Clearances,295,308,374,293,351,357,327,356,333,329,297,238,282,260,298,332,314,305,314,349,325,292,266,256,296,301,315,327,356,306,376,322,382,353,264,307,339,278,268,308,326,308,317,340,318,328,264,281,299,310,357,328,274,334,297,342,308,286,276,297,288,294,309,343,299,315,286,366,284,299,316,298,286,267,322,290,332,360,343,334,308,273,296,259,297,266,313,318,404,311,304,361,294,304,259,259,312,264,267,315,317,325,346,311,340,301,257,305,280,284,277,279,278,332,316,287,316,319,222,253,255,244,308,273,276,275,290,312,313,290,249,226,294,238,293,303,320,261,284,326,287,292,212,221,271,280,255,242,296,291,295,301,298,308,260,280,281,234,243,277,288,249,294,260,275,301,256,251,316,286,339,367,393,361,384,347,369,386,310,316,327,377,375,396,354,400,461,475,448,445,427,375,439,409,410,391,398,432,410,456,463,451,413,429,493,475,508,418,510,521,498,510,432,515,415,392,445,427,417,439,444,421,439,469,403,451,353,381,441,396,396,434,453,482,443,488,454,523,384,352,422,441,402,366,433,394,465,428,445,438,370,384,445,358,527,500,442,556,517,491,550,431,488,429,446,390,515,478,490,480,452,488,506,493,402,387
