series,"01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022"
New Jersey,114,112,104,87,117,99,131,143,111,107,131,100,111,96,83,117,131,121,118,111,100,118,78,96,83,79,87,129,130,117,144,129,138,108,100,99,108,77,121,111,127,117,108,121,98,106,110,80,111,93,104,125,111,123,125,122,112,123,95,85,90,88,101,98,124,103,124,110,104,100,82,82,103,86,113,83,97,105,122,123,104,89,101,75,96,67,78,75,89,101,96,91,83,98,76,82,108,84,84,105,101,104,99,103,77,77,68,112,71,66,99,84,100,91,93,90,95,99,94,59,79,81,75,78,84,79,102,100,88,79,77,58,81,90,77,61,77,89,96,103,78,72,86,95,83,93,91,91,89,72,92,106,88,79,71,78,65,72,65,88,80,67,80,78,65,71,71,56,66,63,68,70,85,95,93,75,92,110,75,60,100,91,88,110,130,137,134,139,102,122,121,89,128,103,121,91,108,125,131,128,148,125,124,122,113,108,118,122,118,127,129,136,156,143,116,119,144,101,116,100,119,111,118,100,146,138,113,118,147,127,131,109,132,148,133,130,147,124,94,118,115,120,103,45,96,119,139,109,123,110,107,93,99,51,123,120,167,134,138,135,124,144,145,128,185,196,244,177,196,191,215,211,188,166,180,168
New Jersey Clearances,50,57,60,51,66,53,58,72,71,49,55,37,57,43,49,52,57,54,68,49,54,58,43,39,49,32,50,67,65,62,66,81,56,52,51,39,62,45,61,43,52,49,50,56,62,46,54,60,54,39,49,70,51,57,44,46,52,57,34,33,40,46,49,43,57,49,55,59,43,46,35,47,44,41,38,32,39,40,50,62,39,39,41,45,48,36,40,27,38,47,44,40,27,37,41,31,47,32,32,47,32,38,35,51,34,37,29,43,37,36,42,34,35,43,31,39,35,34,33,30,25,28,25,35,24,29,25,31,42,25,40,22,28,35,37,22,20,25,30,35,28,27,33,26,34,38,34,46,30,29,28,39,27,30,21,17,22,20,20,29,35,26,32,30,21,25,23,24,25,16,19,26,25,33,38,23,27,25,23,16,29,37,31,44,44,45,47,42,33,32,28,34,47,41,44,39,37,52,35,38,45,30,33,53,39,34,43,31,28,31,33,39,43,37,48,33,48,32,31,15,35,34,31,27,45,36,26,30,48,38,39,27,28,39,33,31,39,33,27,32,35,34,28,20,25,25,43,27,38,36,21,31,27,13,35,37,34,29,28,33,23,36,41,20,35,36,50,32,40,37,41,36,34,28,31,24
