series,"01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022"
Georgia,129,128,158,175,163,140,174,178,196,131,119,160,149,168,170,176,182,180,202,202,179,179,149,144,126,155,167,172,183,188,167,209,212,178,132,136,157,138,183,163,181,165,209,227,196,172,179,140,167,143,155,188,186,179,182,186,153,166,133,367,163,142,174,205,158,170,181,177,189,170,140,124,170,134,153,149,182,177,170,199,177,154,166,153,185,154,159,158,200,195,182,194,183,152,164,154,167,134,179,200,168,206,224,222,200,218,172,162,180,170,187,227,208,177,203,210,167,173,189,147,149,139,145,177,233,195,183,196,172,176,176,122,166,167,161,175,190,167,219,195,183,154,122,127,186,152,158,170,196,177,163,202,189,194,175,149,140,126,145,163,192,178,193,179,174,175,166,143,162,139,172,165,191,198,212,225,183,190,152,153,158,137,171,195,202,164,219,224,219,180,183,162,222,137,207,219,218,218,221,243,207,209,153,180,185,163,251,197,218,219,226,183,186,224,202,134,241,178,203,241,226,238,248,236,258,248,235,194,242,207,210,232,269,246,254,267,316,286,304,257,406,308,336,251,371,375,350,374,376,432,420,367,462,390,436,444,462,468,394,476,549,474,396,422,502,506,538,490,495,472,486,552,485,553,449,438
Georgia Clearances,55,50,68,67,65,75,75,71,85,56,58,61,66,53,80,71,79,62,76,81,68,80,50,63,70,61,73,65,78,86,55,76,67,62,53,46,56,54,59,63,56,58,76,83,46,60,49,55,42,67,61,53,54,57,60,67,57,45,46,43,72,64,56,90,60,64,70,69,69,54,57,51,73,65,70,61,57,70,78,64,68,68,64,55,56,73,63,76,63,54,54,85,59,73,48,64,65,41,59,51,57,63,72,60,71,56,37,49,45,40,62,60,47,63,54,55,28,61,43,42,54,33,51,46,46,49,51,56,73,56,42,54,52,67,81,55,76,64,81,81,68,57,44,56,70,59,78,72,82,61,70,78,58,71,62,55,36,49,63,61,64,49,67,64,83,65,51,41,47,51,44,51,46,51,56,51,43,57,62,47,58,50,60,62,61,67,59,61,66,54,50,54,83,62,55,72,54,60,63,69,60,53,47,42,53,38,66,66,68,66,64,52,54,40,61,47,53,51,68,76,66,60,70,55,75,68,95,37,65,62,55,68,67,47,58,61,68,45,43,44,78,59,61,52,64,62,73,56,56,75,63,80,84,94,109,73,108,61,88,85,120,96,69,82,100,93,126,77,110,72,88,84,80,115,67,81
