series,"01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022"
California,815,744,777,839,907,927,856,864,766,813,766,711,711,682,847,818,881,831,1005,931,887,884,753,729,819,777,775,850,957,873,899,898,922,864,779,767,804,673,834,797,867,857,916,863,904,829,788,786,749,742,890,856,881,770,819,835,833,790,739,690,785,704,782,742,870,738,828,851,784,839,776,646,787,707,738,745,789,866,865,865,750,762,717,644,713,689,733,798,823,753,818,817,750,759,733,660,695,715,715,787,819,693,788,795,771,801,654,670,706,631,713,745,745,734,832,740,774,782,667,629,657,592,698,698,703,713,767,753,720,748,672,605,597,579,670,611,681,620,693,714,645,660,583,606,671,615,702,659,721,599,642,735,709,681,565,535,554,526,622,695,705,585,661,637,619,659,645,555,697,647,730,784,809,821,842,800,914,854,753,748,997,973,1057,1037,1028,1096,1191,1181,1175,1129,999,931,993,1011,1195,1264,1243,1142,1170,1207,1217,1241,1035,977,1116,1025,1224,1238,1455,1219,1268,1311,1190,1315,1250,1113,1282,1236,1261,1314,1430,1251,1337,1299,1347,1416,1176,1153,1176,1060,1187,1182,1332,1172,1383,1359,1332,1289,1086,1162,1272,1193,1096,844,1007,1153,1237,1260,1231,1163,1039,946,255,283,389,395,483,442,469,442,441,532,506,496,1429,1519,1662,1550,1624,1517,1575,1714,1791,1691,1411,1475
California Clearances,375,326,379,342,384,352,437,395,399,405,388,385,387,282,406,372,378,384,423,450,326,413,323,299,402,299,353,386,406,405,382,371,365,380,316,324,351,393,445,361,405,363,378,409,408,358,341,384,317,322,382,360,371,383,351,349,373,371,333,275,367,298,388,294,307,341,316,375,304,327,312,302,358,297,330,312,320,386,386,362,357,301,299,274,327,316,335,320,328,335,338,365,313,336,309,278,287,268,266,324,345,267,352,321,318,301,262,294,288,257,322,278,317,343,351,331,293,317,264,246,271,260,297,284,272,272,274,304,295,318,230,249,234,259,266,269,282,285,237,283,283,295,249,222,289,244,305,295,324,266,262,303,271,301,285,219,245,237,260,265,283,242,264,234,277,304,264,239,325,269,282,298,310,377,405,320,341,396,299,301,451,432,442,413,415,438,447,441,494,428,412,491,455,478,485,483,506,485,436,492,482,463,412,408,473,387,463,488,499,439,417,519,419,534,373,416,468,416,423,418,438,476,478,484,421,456,447,405,449,410,447,471,480,433,451,541,427,407,366,402,407,384,404,386,383,337,427,403,457,409,326,352,15,31,37,43,39,33,54,62,64,68,75,96,376,440,455,439,373,375,405,399,406,365,345,334
